abb,rival,is_local,base_puntos,base_rebotes,base_asistencias,base_valoracion,base_puntos_encontra,base_rebotes_encontra,base_asistencias_encontra,base_valoracion_encontra,alero_puntos,alero_rebotes,alero_asistencias,alero_valoracion,alero_puntos_encontra,alero_rebotes_encontra,alero_asistencias_encontra,alero_valoracion_encontra,pivot_puntos,pivot_rebotes,pivot_asistencias,pivot_valoracion,pivot_puntos_encontra,pivot_rebotes_encontra,pivot_asistencias_encontra,pivot_valoracion_encontra
BKN,COV,Visitante,18,7,8,18,10,2,7,5,28,12,4,24,33,11,9,29,29,16,1,37,30,17,2,45
BRE,Todos,Todas,17,3,6,17,13,4,7,15,27,12,5,20,40,13,10,45,28,15,3,30,33,17,3,40
BRE,Todos Local,Todas Local,19,3,7,19,14,4,7,15,30,11,6,25,40,13,8,40,27,14,3,33,26,15,3,32
BRE,Todos Visitante,Todas Visitante,16,4,4,15,12,3,6,15,24,13,5,15,39,14,11,50,28,15,3,27,38,18,3,47
BRE,SBB,Visitante,17,4,6,15,22,2,9,26,28,11,5,13,28,16,7,39,27,13,4,23,40,21,3,45
BRE,LLT,Local,21,2,10,27,23,2,9,17,27,8,8,21,29,12,4,31,30,14,1,34,27,11,3,34
BRE,VBC,Local,15,1,6,9,24,7,10,27,38,15,5,35,34,12,6,30,22,15,4,35,29,21,7,36
BRE,JOV,Visitante,12,3,3,7,10,4,6,7,31,19,9,43,25,14,5,30,33,16,4,33,35,17,3,35
BRE,HIO,Local,15,6,5,21,4,1,5,6,34,12,10,34,60,17,16,71,28,15,3,29,10,6,1,2
BRE,CAZ,Visitante,12,3,5,4,12,1,6,13,11,8,3,-5,43,15,15,68,30,14,2,22,65,21,6,93
BRE,BAR,Local,25,2,8,22,9,10,5,13,26,10,4,23,27,7,7,17,26,15,3,31,34,19,1,43
BRE,UCM,Visitante,18,3,5,18,11,7,6,16,25,22,4,15,36,10,17,46,20,15,2,25,32,21,1,35
BRE,COV,Local,17,2,6,16,11,1,8,12,26,11,2,14,50,15,9,49,31,13,6,35,31,19,3,45
BRE,DGC,Visitante,24,6,6,36,11,2,3,14,24,7,4,8,28,8,9,20,34,21,5,35,34,16,2,43
BRE,RMB,Visitante,16,5,2,8,9,4,9,15,26,13,3,16,76,20,14,94,27,13,3,26,21,12,2,31
CAZ,Todos,Todas,24,5,8,28,17,5,8,22,30,11,6,25,45,11,7,44,40,19,3,48,26,14,4,26
CAZ,Todos Local,Todas Local,26,5,9,32,13,4,6,14,29,13,6,26,41,10,8,37,45,21,3,58,24,14,3,20
CAZ,Todos Visitante,Todas Visitante,21,5,8,24,21,6,10,30,31,9,7,23,49,13,7,52,35,16,4,37,28,15,5,32
CAZ,HIO,Local,24,7,12,37,4,2,1,5,30,12,4,8,53,15,13,61,47,24,3,61,16,5,1,8
CAZ,RMB,Visitante,38,6,9,42,20,5,9,34,21,9,9,10,60,15,11,75,36,11,5,34,21,13,0,18
CAZ,JOV,Local,31,5,11,36,27,5,7,33,19,8,3,-1,37,10,8,47,46,23,3,57,31,12,3,15
